STN,LOCATION
067700,Switzerland
067710,Switzerland
067770,Italy
067780,Switzerland
067790,Switzerland
067800,Switzerland
067820,Switzerland
067830,Switzerland
067840,Switzerland
067850,Switzerland
067860,Switzerland
067870,Switzerland
067880,Switzerland
067890,Switzerland
067900,Switzerland
067910,Switzerland
067920,Switzerland
067930,Switzerland
067940,Switzerland
067950,Switzerland
067960,Switzerland
067970,Switzerland
067980,Switzerland
067990,Switzerland
068065,Switzerland
068420,Switzerland
068460,Switzerland
069900,Liechtenstein
070020,France
070030,France
070050,France
070090,France
070100,France
070150,France
070200,France
070240,France
070270,France
070280,France
070310,France
070370,France
070380,France
070400,France
070460,France
070550,France
070570,France
070590,France
070610,France
070720,France
070750,France
070930,France
071000,Unknown
071060,France
071090,France
071100,France
071170,France
071180,France
071200,France
071250,France
071300,France
071340,France
071390,France
071400,France
071430,France
071450,France
071460,France
071470,France
071490,France
071500,France
071515,France
071530,France
071560,France
071570,France
071604,France
071650,France
071660,France
071680,France
071690,France
071790,France
071800,France
071810,France
071825,France
071900,France
071970,France
072010,France
072030,Unknown
072050,France
072070,Unknown
072100,Unknown
072170,Unknown
072220,France
072300,France
072350,France
072400,France
072450,France
072470,France
072490,France
072550,France
072553,France
072554,France
072570,France
072600,France
072660,France
072800,France
072830,France
072880,France
072920,France
072960,France
072990,France
073000,Unknown
073060,France
073140,Unknown
073160,France
073170,France
073175,France
073300,France
073350,France
073540,France
073610,France
073740,France
073790,France
073850,France
073860,France
073901,France
074120,France
074200,France
074280,France
074340,France
074380,France
074600,France
074710,France
074750,France
074760,France
074765,France
074770,France
074800,France
074810,France
074820,France
074860,France
074900,France
074910,France
074970,France
075000,Unknown
075020,France
075030,France
075100,France
075240,France
075300,France
075350,France
075400,France
075490,France
075520,France
075540,France
075580,France
075600,France
075770,France
075790,France
075795,France
075860,France
075910,France
076000,Unknown
076020,France
076030,France
076070,France
076100,France
076210,France
076220,France
076270,France
076280,France
076293,France
076300,France
076310,France
076320,France
076350,France
076410,France
076415,France
076430,France
076460,France
076470,France
076480,France
076500,France
076610,France
076660,Unknown
076670,France
076750,France
076780,Unknown
076840,France
076900,France
077470,France
077490,France
077540,France
077610,France
077650,Unknown
077700,Unknown
077800,France
077900,France
080001,Unknown
080010,Spain
080020,Spain
080080,Spain
080110,Spain
080140,Spain
080141,Spain
080142,Spain
080143,Spain
080144,Spain
080150,Spain
080210,Unknown
080230,Spain
080250,Spain
080270,Spain
080290,France
080420,Spain
080440,Spain
080450,Spain
080480,Spain
080530,Spain
080550,Spain
080720,Spain
080750,Spain
080800,Spain
080840,Spain
080850,Spain
080870,Spain
080910,Spain
080940,Spain
081120,Spain
081170,Spain
081300,Spain
081400,Spain
081410,Spain
081480,Spain
081600,Spain
081710,Spain
081750,Spain
081763,Spain
081800,Spain
081810,Spain
081840,Spain
081860,Spain
082010,Spain
082020,Spain
082100,Spain
082130,Spain
082150,Spain
082190,Spain
082200,Spain
082210,Spain
082220,Spain
082230,Spain
082240,Spain
082260,Spain
082270,Spain
082310,Spain
082320,Spain
082330,Spain
082350,Spain
082380,Spain
082610,Spain
082720,Spain
082800,Spain
082840,Spain
082850,Spain
082860,Spain
082900,Spain
083010,Unknown
083030,Spain
083060,Spain
083140,Spain
083300,Spain
083350,Spain
083480,Spain
083590,Spain
083600,Spain
083650,Spain
083730,Spain
083830,Spain
083905,Spain
083910,Spain
083970,Spain
084100,Spain
084170,Spain
084190,Spain
084290,Spain
084300,Spain
084330,Spain
084490,Spain
084510,Spain
084515,Spain
084520,Unknown
084530,Spain
084580,Unknown
084820,Spain
084870,Spain
084950,Spain
085010,Unknown
085020,Portugal
085050,Portugal
085060,Unknown
085070,Portugal
085090,Portugal
085095,Portugal
085110,Portugal
085120,Unknown
085125,Portugal
085150,Portugal
085210,Unknown
085220,Unknown
085240,Portugal
085320,Portugal
085330,Unknown
085340,Portugal
085350,Portugal
085360,Portugal
085370,Unknown
085400,Portugal
085410,Portugal
085440,Portugal
085450,Portugal
085480,Portugal
085510,Portugal
085540,Portugal
085580,Portugal
085581,Portugal
085600,Portugal
085610,Portugal
085620,Portugal
085670,Portugal
085680,Portugal
085700,Portugal
085710,Portugal
085750,Portugal
085790,Portugal
085830,Cape Verde
085890,Unknown
085940,Cape Verde
085944,Cape Verde
085945,Cape Verde
100001,Germany
100180,Germany
100330,Unknown
100370,Germany
100380,Germany
100465,Germany
101260,Germany
101360,Germany
101470,Germany
101490,Germany
101560,Germany
101624,Germany
101720,Germany
101935,Germany
102240,Germany
102460,Germany
103040,Germany
103150,Germany
103210,Germany
103340,Germany
103350,Germany
103380,Germany
103430,Germany
103480,Germany
103820,Germany
103850,Germany
104000,Germany
104160,Germany
104260,Germany
104360,Germany
104374,Germany
104390,Germany
104690,Germany
104760,Germany
104880,Germany
105000,Germany
105020,Germany
105130,Germany
105536,Germany
105540,Germany
106070,Germany
106130,Germany
106140,Germany
106160,Germany
106162,Germany
106190,Germany
106330,Germany
106370,Germany
106850,Germany
106870,Germany
107080,Germany
107275,Germany
107290,Germany
107380,Germany
107430,Germany
107450,Germany
107520,Germany
107550,Germany
107630,Germany
107750,Germany
108050,Germany
108370,Germany
108520,Germany
108530,Germany
108560,Germany
108600,Germany
108644,Germany
108660,Germany
109350,Germany
109470,Germany
109540,Germany
110010,Austria
110080,Austria
110100,Austria
110120,Austria
110162,Austria
110165,Austria
110180,Austria
110190,Austria
110200,Austria
110210,Austria
110220,Austria
110240,Austria
110250,Austria
110270,Austria
110300,Austria
110320,Austria
110340,Austria
110350,Austria
110360,Austria
110370,Austria
110400,Austria
110510,Austria
110530,Austria
110550,Germany
110590,Austria
110600,Austria
110700,Austria
110750,Austria
110780,Austria
110800,Austria
110820,Austria
110830,Austria
110850,Austria
111010,Austria
111050,Austria
111100,Austria
111120,Austria
111190,Austria
111200,Austria
111210,Austria
111260,Austria
111270,Austria
111290,Austria
111300,Austria
111360,Austria
111380,Austria
111400,Austria
111410,Austria
111460,Austria
111480,Austria
111490,Austria
111500,Austria
111520,Austria
111530,Austria
111550,Austria
111570,Austria
111610,Austria
111650,Austria
111700,Austria
111710,Austria
111750,Austria
111760,Austria
111800,Austria
111820,Austria
111850,Austria
111900,Austria
111920,Austria
112010,Austria
112040,Austria
112130,Austria
112140,Austria
112200,Austria
112250,Austria
112270,Austria
112290,Austria
112310,Austria
112320,Austria
112400,Austria
112410,Austria
112440,Austria
112520,Austria
112550,Austria
112650,Austria
112700,Austria
112720,Austria
112750,Austria
112800,Austria
112850,Austria
112920,Austria
112960,Austria
112980,Austria
113010,Austria
113020,Austria
113040,Austria
113080,Austria
113100,Austria
113120,Austria
113160,Austria
113180,Austria
113250,Austria
113300,Austria
113310,Austria
113370,Austria
113400,Austria
113430,Austria
113450,Austria
113460,Austria
113490,Austria
113500,Austria
113510,Austria
113550,Austria
113560,Austria
113570,Austria
113580,Austria
113590,Austria
113620,Austria
113650,Austria
113660,Austria
113670,Austria
113750,Austria
113780,Austria
113800,Austria
113820,Austria
113830,Austria
113840,Austria
113850,Austria
113870,Austria
113890,Austria
113900,Austria
113930,Hungary
113950,Austria
114060,Czech Republic
114140,Czech Republic
114230,Czech Republic
114232,Czech Republic
114233,Czech Republic
114380,Czech Republic
114480,Czech Republic
114500,Czech Republic
114570,Czech Republic
114640,Czech Republic
114870,Czech Republic
115020,Czech Republic
115090,Czech Republic
115180,Czech Republic
115190,Czech Republic
115200,Czech Republic
115351,Czech Republic
115380,Czech Republic
115460,Czech Republic
115670,Czech Republic
116030,Czech Republic
116240,Czech Republic
116280,Czech Republic
116360,Czech Republic
116430,Czech Republic
116520,Czech Republic
116530,Czech Republic
116590,Czech Republic
116790,Czech Republic
116830,Czech Republic
116920,Czech Republic
116930,Czech Republic
116980,Czech Republic
117100,Czech Republic
117230,Czech Republic
117300,Czech Republic
117470,Czech Republic
117660,Czech Republic
117740,Czech Republic
117820,Czech Republic
